iter	RMSE
173	1.807939006
174	1.80430867
175	1.802361416
176	1.798390191
177	1.794820137
178	1.792200856
179	1.789589847
180	1.785084472
181	1.782306071
182	1.779724312
183	1.777345634
184	1.775573749
185	1.770431034
186	1.766645816
187	1.76507859
188	1.761931543
189	1.758083228
190	1.755834559
191	1.751584965
192	1.748203624
193	1.746609703
194	1.744724538
195	1.74175228
196	1.739127943
197	1.735490488
198	1.732171533
199	1.727686743
200	1.724937917
201	1.720866469
202	1.718211745
203	1.712992753
204	1.711738544
205	1.706458314
206	1.703754244
207	1.700700898
208	1.697839451
209	1.696074247
210	1.693334101
211	1.691144055
212	1.689177637
213	1.686614751
214	1.684850448
215	1.682434127
216	1.680108505
217	1.677021689
218	1.675063444
219	1.672263463
220	1.669891806
221	1.666518234
222	1.664228776
223	1.660863398
224	1.658467797
225	1.654946858
226	1.653759978
227	1.650433789
228	1.647555776
229	1.645545639
230	1.643848194
231	1.642441094
232	1.639213583
233	1.637512677
234	1.634830329
235	1.632957649
236	1.631712158
237	1.628051655
238	1.625901659
239	1.623817004
240	1.621424381
241	1.619288112
242	1.618263332
243	1.615463151
244	1.613344057
245	1.611822918
246	1.610158752
247	1.60899526
248	1.606165368
249	1.603807525
250	1.601080136
251	1.599114977
252	1.597225008
253	1.595031044
254	1.593617676
255	1.590621027
256	1.586504035
257	1.584606648
258	1.582953962
259	1.58051339
260	1.579059922
261	1.577146489
262	1.575651042
263	1.573918575
264	1.572509215
265	1.568961669
266	1.565839362
267	1.564352056
268	1.562678425
269	1.561422513
270	1.559114993
271	1.557317451
272	1.555002162
273	1.552910296
274	1.550817844
275	1.548122995
276	1.546703622
277	1.54426385
278	1.542772077
279	1.541372427
280	1.539958055
281	1.539060857
282	1.537446201
283	1.5353296
284	1.533895414
285	1.531758594
286	1.529604465
287	1.527427282
288	1.526572831
289	1.524902381
290	1.522887093
291	1.520110682
292	1.517846747
293	1.517182264
294	1.516504621
295	1.515718347
296	1.513790678
297	1.511600156
298	1.509647084
299	1.508413003
300	1.507278996
301	1.505816041
302	1.503436582
303	1.501353525
304	1.499426783
305	1.498450838
306	1.497699689
307	1.496227393
308	1.493528095
309	1.492942687
310	1.492103186
311	1.490629092
312	1.488427945
313	1.487855425
314	1.486693325
315	1.484148718
316	1.480569397
317	1.479068541
318	1.476995757
319	1.475645613
320	1.474494128
321	1.47371697
322	1.472795246
323	1.471504169
324	1.470212421
325	1.469272863
326	1.468490887
327	1.466520026
328	1.464911316
329	1.463973329
330	1.462105615
331	1.461399307
332	1.460742787
333	1.458583092
334	1.457372894
335	1.456198617
336	1.45300255
337	1.450746683
338	1.448636005
339	1.446805977
340	1.446468187
341	1.444503879
342	1.442220207
343	1.44057537
344	1.439974431
345	1.436281574
346	1.435448809
347	1.433747593
348	1.432429545
349	1.431800244
350	1.430918023
351	1.429967504
352	1.42906648
353	1.427847169
354	1.425873455
355	1.42456066
356	1.423795341
357	1.422596191
358	1.422071804
359	1.421625638
360	1.42071835
361	1.420049584
362	1.419479843
363	1.418208971
364	1.416892545
365	1.416147751
366	1.414547906
367	1.413415273
368	1.411534231
369	1.410741985
370	1.410095013
371	1.409575821
372	1.409132503
373	1.407126106
374	1.405093273
375	1.404262818
376	1.403097588
377	1.401644111
378	1.399897159
379	1.398748078
380	1.397694215
381	1.395264902
382	1.392994948
383	1.392662265
384	1.39046658
385	1.388793941
386	1.38627071
387	1.385218147
388	1.384863458
389	1.383252029
390	1.381851479
391	1.380706063
392	1.37951145
393	1.378501567
394	1.376018293
395	1.374283358
396	1.370897705
397	1.370188828
398	1.368539347
399	1.367527347
400	1.367185155
401	1.365662164
402	1.364548109
403	1.362646566
404	1.360804064
405	1.359039154
406	1.357202207
407	1.356689058
408	1.355538593
409	1.35516661
410	1.353383685
411	1.352056765
412	1.350588811
413	1.348771321
414	1.347757286
415	1.344841679
416	1.344107973
417	1.342143275
418	1.339598272
419	1.338748293
420	1.336687261
421	1.335801209
422	1.333978951
423	1.332306197
424	1.330245522
425	1.328402061
426	1.327242614
427	1.326142064
428	1.32472491
429	1.324409528
430	1.322118141
431	1.320859537
432	1.319336175
433	1.318467328
434	1.315839095
435	1.315284676
436	1.314182091
437	1.312819969
438	1.312092244
439	1.311755418
440	1.311142826
441	1.31078756
442	1.309763241
443	1.309177326
444	1.30862884
445	1.307998978
446	1.306199385
447	1.305710496
448	1.303968003
449	1.302261557
450	1.300918331
451	1.298639851
452	1.297643515
453	1.296466275
454	1.295576533
455	1.294427508
456	1.293278403
457	1.290810699
458	1.288736308
459	1.288319403
460	1.287441875
461	1.286330187
462	1.284373901
463	1.283386448
464	1.282118738
465	1.280859291
466	1.279724503
467	1.278285999
468	1.276143601
469	1.275171469
470	1.274080235
471	1.271492892
472	1.271286079
473	1.270610798
474	1.26892085
475	1.266608561
476	1.265688423
477	1.264816296
478	1.262696734
479	1.262273894
480	1.260241461
481	1.257340559
482	1.256114766
483	1.255677655
484	1.255036887
485	1.254306308
486	1.253352705
487	1.251998089
488	1.250977202
489	1.2485636
490	1.24716396
491	1.245523911
492	1.244724399
493	1.243839012
494	1.242314775
495	1.241211768
496	1.240994583
497	1.239982043
498	1.238449602
499	1.237194671
500	1.236803426
501	1.234046863
502	1.232414804
503	1.231936292
