iter	Logloss
0	0.6714258878
1	0.6509968695
2	0.6325048111
3	0.6160350867
4	0.6011964256
5	0.5870474358
6	0.5735836933
7	0.5616569293
8	0.5507947293
9	0.540724687
10	0.5317989561
11	0.5237953234
12	0.5163367975
13	0.5094691142
14	0.5030676307
15	0.4970099279
16	0.4917046815
17	0.4867830315
18	0.4822569161
19	0.4780689825
20	0.4742781006
21	0.4705457678
22	0.4674612825
23	0.46438715
24	0.4617881114
25	0.4593317106
26	0.4570465995
27	0.4547783632
28	0.4527802867
29	0.451037165
30	0.4493514451
31	0.4477862743
32	0.4460555688
33	0.4445960489
34	0.4431727102
35	0.4418695795
36	0.4407278914
37	0.4397205589
38	0.4387673228
39	0.437828779
40	0.4368597402
41	0.4359859351
42	0.4350762919
43	0.4344460427
44	0.4337912639
45	0.4331993548
46	0.4326037775
47	0.4319691973
48	0.4314202288
49	0.4308648034
50	0.4303058276
51	0.4298243684
52	0.4295056993
53	0.4292009759
54	0.4288712095
55	0.4284015297
56	0.4280774672
57	0.4276965175
58	0.4273778758
59	0.4270745697
60	0.4267234523
61	0.4263956844
62	0.4260736587
63	0.4257426609
64	0.4254858523
65	0.4254091157
66	0.4252137088
67	0.4249833408
68	0.4247527241
69	0.4245787504
70	0.4242090263
71	0.4240297652
72	0.4237902562
73	0.4235522943
74	0.4233086263
75	0.4231184278
76	0.4229444527
77	0.4227578032
78	0.4225882983
79	0.4223390111
80	0.4219917584
81	0.4218040214
82	0.4216741278
83	0.4214654718
84	0.4213330639
85	0.4211272049
86	0.4208913747
87	0.4207800877
88	0.4206369258
89	0.4204398376
90	0.420301096
91	0.4200688127
92	0.4199162441
93	0.4197852014
94	0.4196293056
95	0.4194683022
96	0.4193348376
97	0.419180854
98	0.4190067918
99	0.4188155547
100	0.4186793902
101	0.4185671076
102	0.4184441382
103	0.4182817748
104	0.4181749346
105	0.4180220135
106	0.4178668116
107	0.4177386175
108	0.4176021511
109	0.4174348693
110	0.417308674
111	0.4171468328
112	0.4170258948
113	0.4169543072
114	0.4168745262
115	0.4167357211
116	0.416583168
117	0.4164754071
118	0.416339121
119	0.4161771715
120	0.4160354242
121	0.4159539702
122	0.4158581354
123	0.4157643282
124	0.4156152838
125	0.4155222973
126	0.4154215974
127	0.4153371643
128	0.4152412221
129	0.4151349889
130	0.4150234272
131	0.4148795587
132	0.4147504916
133	0.4146835554
134	0.4145535256
135	0.4144504768
136	0.4143099856
137	0.4142566913
138	0.4142141461
139	0.4141544509
140	0.4140726358
141	0.4139431121
142	0.4138616227
143	0.4137503797
144	0.4136494936
145	0.413553409
146	0.4134653271
147	0.413388007
148	0.4132664402
149	0.4131109514
150	0.4130303967
151	0.4129373061
152	0.4128538187
153	0.4127443472
154	0.4126522983
155	0.4124975644
156	0.4124097704
157	0.412328925
158	0.4122295376
159	0.4121447388
160	0.4120721062
161	0.4119872475
162	0.4118714752
163	0.4117830359
164	0.4116235977
165	0.4115221884
166	0.4114414434
167	0.4113320313
168	0.4112458867
169	0.4112085354
170	0.4110819179
171	0.4110085727
172	0.4109011322
173	0.4108569198
174	0.4107499506
175	0.4106500845
176	0.4105952154
177	0.410525591
178	0.4104328946
179	0.4103201065
180	0.41016856
181	0.4101007574
182	0.4099809178
183	0.4098437722
184	0.4097357291
185	0.4096769647
186	0.4095649861
187	0.4094648389
188	0.4093694498
189	0.4092900475
190	0.4092172925
191	0.409120646
192	0.4090020065
193	0.4089032746
194	0.4088183284
195	0.4087499654
196	0.4086698928
197	0.4085863425
198	0.4084628452
199	0.4083576393
200	0.4082493234
201	0.4081536814
202	0.4080803799
203	0.4079775106
204	0.4078994364
205	0.4077621936
206	0.40768515
207	0.4076008607
208	0.4075318288
209	0.4074652039
210	0.4074259392
211	0.4073469969
212	0.4072807742
213	0.4071868022
214	0.4071082403
215	0.4070459209
216	0.4069258208
217	0.4067747321
218	0.4066581485
219	0.4066019813
220	0.4065175466
221	0.4064032922
222	0.4063426949
223	0.4062388759
224	0.4061903327
225	0.4061143869
226	0.4060089008
227	0.4059494673
228	0.4058321502
229	0.4057668241
230	0.4057048484
231	0.4056227468
232	0.4055359195
233	0.4054482937
234	0.405344873
235	0.4052760913
236	0.4051855538
237	0.4050386411
238	0.404955079
239	0.4048760597
240	0.4048422246
241	0.40475756
242	0.4046689632
243	0.4045582644
244	0.40442133
245	0.4043545561
246	0.404248335
247	0.4041560107
248	0.404069326
249	0.4039760948
250	0.4039037743
251	0.4038054555
252	0.4037005271
253	0.4036207332
254	0.4034800966
255	0.4033551208
256	0.403217737
257	0.4031033621
258	0.4029895457
259	0.4029449641
260	0.4028456933
261	0.4027048703
262	0.4026285845
263	0.4025510702
264	0.4024763734
265	0.4023320042
266	0.4022214797
267	0.4021544061
268	0.4020587924
269	0.4019965248
270	0.4019536442
271	0.4018591307
272	0.4017735104
273	0.4016301476
274	0.4015812334
275	0.4014852318
276	0.40138517
277	0.4012551183
278	0.40117245
279	0.4010889289
280	0.4009957419
281	0.4008856862
282	0.4007494958
283	0.4006795485
284	0.4005014763
285	0.4003791028
286	0.400339596
287	0.4002598507
288	0.4001541461
289	0.4000613329
290	0.4000166403
291	0.3999347898
292	0.3998188805
293	0.3997219566
294	0.3995932397
295	0.3995296621
296	0.3994431125
297	0.3993280581
298	0.3992677759
299	0.399216799
300	0.3990489592
301	0.3989276823
302	0.3988376436
303	0.3987648718
304	0.3986499507
305	0.3985827296
306	0.3984769985
307	0.3984208344
308	0.3982498494
309	0.3981133764
310	0.3980842841
311	0.3979798697
312	0.3978771984
313	0.3977220887
314	0.3976520403
315	0.3975213989
316	0.3974041002
317	0.3973234343
318	0.3972570827
319	0.3971606078
320	0.3970488055
321	0.3968979235
322	0.3967603806
323	0.3967285235
324	0.3966077443
325	0.3965199129
326	0.3964609601
327	0.3964049951
328	0.3963130804
329	0.3961480683
330	0.3960623821
331	0.3959147958
332	0.3958299986
333	0.3957935718
334	0.3956574898
335	0.3955879347
336	0.3955669418
337	0.3954064206
338	0.3953127462
339	0.3952102752
340	0.3950834254
341	0.3950057279
342	0.3949126925
343	0.3948171101
344	0.3946769189
345	0.3945827695
346	0.3945060224
347	0.394375265
348	0.3942843309
349	0.3942149581
350	0.3940728323
351	0.393950072
352	0.3938391056
353	0.3937437856
354	0.3936016019
355	0.3935789376
356	0.393466845
357	0.3933836095
358	0.3932931689
359	0.3932227038
360	0.3931889628
361	0.3931119613
362	0.3930883291
363	0.3929700952
364	0.3928641186
365	0.3928423291
366	0.3927004057
367	0.392588557
368	0.3925714568
369	0.3925006939
370	0.3924349474
371	0.3922997388
372	0.3921658758
373	0.3920856456
374	0.3919388965
375	0.3918512563
376	0.3917753602
377	0.3917454024
378	0.3915847786
379	0.3915084117
380	0.3914498335
381	0.3913990527
382	0.3912672846
383	0.3911685454
384	0.3910816107
385	0.3909513703
386	0.3908358737
387	0.3907174498
388	0.3906487654
389	0.3905996983
390	0.390445056
391	0.3903664079
392	0.3902562695
393	0.3901570251
394	0.3900793151
395	0.3899650377
396	0.3898600056
